[2025-11-28 16:29:20] Logger initialized at: C:\Users\anush\OneDrive\Desktop\year2sem1\LetsTeamUpstudent2\LetsTeamUp\src\main\resources\logs\application_20251128_162920.log
[2025-11-28 16:29:20] Application started
[2025-11-28 16:29:27] User selected Management role
[2025-11-28 16:29:30] Management selected: Load Participants
[2025-11-28 16:29:33] Participant added: P001 - Participant_1
[2025-11-28 16:29:33] Participant added: P002 - Participant_2
[2025-11-28 16:29:33] Participant added: P003 - Participant_3
[2025-11-28 16:29:33] Participant added: P004 - Participant_4
[2025-11-28 16:29:33] Participant added: P005 - Participant_5
[2025-11-28 16:29:33] Participant added: P006 - Participant_6
[2025-11-28 16:29:33] Participant added: P007 - Participant_7
[2025-11-28 16:29:33] Participant added: P008 - Participant_8
[2025-11-28 16:29:33] Participant added: P009 - Participant_9
[2025-11-28 16:29:33] Participant added: P010 - Participant_10
[2025-11-28 16:29:33] Participant added: P011 - Participant_11
[2025-11-28 16:29:33] Participant added: P012 - Participant_12
[2025-11-28 16:29:33] Participant added: P013 - Participant_13
[2025-11-28 16:29:33] Participant added: P014 - Participant_14
[2025-11-28 16:29:33] Participant added: P015 - Participant_15
[2025-11-28 16:29:33] Participant added: P016 - Participant_16
[2025-11-28 16:29:33] Participant added: P017 - Participant_17
[2025-11-28 16:29:33] Participant added: P018 - Participant_18
[2025-11-28 16:29:33] Participant added: P019 - Participant_19
[2025-11-28 16:29:33] Participant added: P020 - Participant_20
[2025-11-28 16:29:33] Participant added: P021 - Participant_21
[2025-11-28 16:29:33] Participant added: P022 - Participant_22
[2025-11-28 16:29:33] Participant added: P023 - Participant_23
[2025-11-28 16:29:33] Participant added: P024 - Participant_24
[2025-11-28 16:29:33] Participant added: P025 - Participant_25
[2025-11-28 16:29:33] Participant added: P026 - Participant_26
[2025-11-28 16:29:33] Participant added: P027 - Participant_27
[2025-11-28 16:29:33] Participant added: P028 - Participant_28
[2025-11-28 16:29:33] Participant added: P029 - Participant_29
[2025-11-28 16:29:33] Participant added: P030 - Participant_30
[2025-11-28 16:29:33] Participant added: P031 - Participant_31
[2025-11-28 16:29:33] Participant added: P032 - Participant_32
[2025-11-28 16:29:33] Participant added: P033 - Participant_33
[2025-11-28 16:29:33] Participant added: P034 - Participant_34
[2025-11-28 16:29:33] Participant added: P035 - Participant_35
[2025-11-28 16:29:33] Participant added: P036 - Participant_36
[2025-11-28 16:29:33] Participant added: P037 - Participant_37
[2025-11-28 16:29:33] Participant added: P038 - Participant_38
[2025-11-28 16:29:33] Participant added: P039 - Participant_39
[2025-11-28 16:29:33] Participant added: P040 - Participant_40
[2025-11-28 16:29:33] Participant added: P041 - Participant_41
[2025-11-28 16:29:33] Participant added: P042 - Participant_42
[2025-11-28 16:29:33] Participant added: P043 - Participant_43
[2025-11-28 16:29:33] Participant added: P044 - Participant_44
[2025-11-28 16:29:33] Participant added: P045 - Participant_45
[2025-11-28 16:29:33] Participant added: P046 - Participant_46
[2025-11-28 16:29:33] Participant added: P047 - Participant_47
[2025-11-28 16:29:33] Participant added: P048 - Participant_48
[2025-11-28 16:29:33] Participant added: P049 - Participant_49
[2025-11-28 16:29:33] Participant added: P050 - Participant_50
[2025-11-28 16:29:33] Participant added: P051 - Participant_51
[2025-11-28 16:29:33] Participant added: P052 - Participant_52
[2025-11-28 16:29:33] Participant added: P053 - Participant_53
[2025-11-28 16:29:33] Participant added: P054 - Participant_54
[2025-11-28 16:29:33] Participant added: P055 - Participant_55
[2025-11-28 16:29:33] Participant added: P056 - Participant_56
[2025-11-28 16:29:33] Participant added: P057 - Participant_57
[2025-11-28 16:29:33] Participant added: P058 - Participant_58
[2025-11-28 16:29:33] Participant added: P059 - Participant_59
[2025-11-28 16:29:33] Participant added: P060 - Participant_60
[2025-11-28 16:29:33] Participant added: P061 - Participant_61
[2025-11-28 16:29:33] Participant added: P062 - Participant_62
[2025-11-28 16:29:33] Participant added: P063 - Participant_63
[2025-11-28 16:29:33] Participant added: P064 - Participant_64
[2025-11-28 16:29:33] Participant added: P065 - Participant_65
[2025-11-28 16:29:33] Participant added: P066 - Participant_66
[2025-11-28 16:29:33] Participant added: P067 - Participant_67
[2025-11-28 16:29:33] Participant added: P068 - Participant_68
[2025-11-28 16:29:33] Participant added: P069 - Participant_69
[2025-11-28 16:29:33] Participant added: P070 - Participant_70
[2025-11-28 16:29:33] Participant added: P071 - Participant_71
[2025-11-28 16:29:33] Participant added: P072 - Participant_72
[2025-11-28 16:29:33] Participant added: P073 - Participant_73
[2025-11-28 16:29:33] Participant added: P074 - Participant_74
[2025-11-28 16:29:33] Participant added: P075 - Participant_75
[2025-11-28 16:29:33] Participant added: P076 - Participant_76
[2025-11-28 16:29:33] Participant added: P077 - Participant_77
[2025-11-28 16:29:33] Participant added: P078 - Participant_78
[2025-11-28 16:29:33] Participant added: P079 - Participant_79
[2025-11-28 16:29:33] Participant added: P080 - Participant_80
[2025-11-28 16:29:33] Participant added: P081 - Participant_81
[2025-11-28 16:29:33] Participant added: P082 - Participant_82
[2025-11-28 16:29:33] Participant added: P083 - Participant_83
[2025-11-28 16:29:33] Participant added: P084 - Participant_84
[2025-11-28 16:29:33] Participant added: P085 - Participant_85
[2025-11-28 16:29:33] Participant added: P086 - Participant_86
[2025-11-28 16:29:33] Participant added: P087 - Participant_87
[2025-11-28 16:29:33] Participant added: P088 - Participant_88
[2025-11-28 16:29:33] Participant added: P089 - Participant_89
[2025-11-28 16:29:33] Participant added: P090 - Participant_90
[2025-11-28 16:29:33] Participant added: P091 - Participant_91
[2025-11-28 16:29:33] Participant added: P092 - Participant_92
[2025-11-28 16:29:33] Participant added: P093 - Participant_93
[2025-11-28 16:29:33] Participant added: P094 - Participant_94
[2025-11-28 16:29:33] Participant added: P095 - Participant_95
[2025-11-28 16:29:33] Participant added: P096 - Participant_96
[2025-11-28 16:29:33] Participant added: P097 - Participant_97
[2025-11-28 16:29:33] Participant added: P098 - Participant_98
[2025-11-28 16:29:33] Participant added: P099 - Participant_99
[2025-11-28 16:29:33] Participant added: P100 - Participant_100
[2025-11-28 16:29:33] Loaded 100 participants from C:\Users\anush\OneDrive\Desktop\year2sem1\LetsTeamUpstudent2\LetsTeamUp\src\main\resources\participants_sample.csv
[2025-11-28 16:29:39] Management selected: Form Teams
[2025-11-28 16:29:44] Forming 25 balanced teams with size 4
[2025-11-28 16:29:44] Successfully formed 25 teams
[2025-11-28 16:29:53] Management selected: Form Teams
[2025-11-28 16:30:02] Forming 20 skill-based teams
[2025-11-28 16:30:29] Management selected: Form Teams
[2025-11-28 16:30:47] Management selected: Form Teams
[2025-11-28 16:30:55] Forming 10 role-based teams
[2025-11-28 16:31:25] Management selected: View Teams
[2025-11-28 16:31:27] Management selected: Export Teams
[2025-11-28 16:31:30] Exported 10 teams to src/main/resources/formed_teams.csv
